,delta,beta
0,0.0,0.0
1,0.0001,3.514466495602164e-11
2,0.0002,2.810623955795677e-10
3,0.00030000000000000003,9.482697960194741e-10
4,0.0004,2.2470020288878345e-09
5,0.0005,4.387213370371512e-09
6,0.0006000000000000001,7.578578320455165e-09
7,0.0007,1.203049093678743e-08
8,0.0008,0.0
9,0.0009000000000000001,0.0
10,0.001,0.0
11,0.0011,0.0
12,0.0012000000000000001,0.0
13,0.0013000000000000002,0.0
14,0.0014,0.0
15,0.0015,0.0
16,0.0016,5.551115123125783e-16
17,0.0017000000000000001,5.551115123125783e-16
18,0.0018000000000000002,5.551115123125783e-16
19,0.0019,1.1102230246251565e-15
20,0.002,1.6653345369377348e-15
21,0.0021000000000000003,2.220446049250313e-15
22,0.0022,2.7755575615628914e-15
23,0.0023,3.885780586188048e-15
24,0.0024000000000000002,4.9960036108132044e-15
25,0.0025,6.661338147750939e-15
26,0.0026000000000000003,8.881784197001252e-15
27,0.0027,1.1102230246251565e-14
28,0.0028,1.4432899320127035e-14
29,0.0029000000000000002,1.887379141862766e-14
30,0.003,2.3314683517128287e-14
31,0.0031000000000000003,2.942091015256665e-14
32,0.0032,3.7192471324942744e-14
33,0.0033,4.6074255521943996e-14
34,0.0034000000000000002,5.6621374255882984e-14
35,0.0035,6.938893903907228e-14
36,0.0036000000000000003,8.43769498715119e-14
37,0.0037,1.021405182655144e-13
38,0.0038,1.226796442210798e-13
39,0.0039000000000000003,1.4710455076283324e-13
40,0.004,1.7541523789077473e-13
41,0.0041,2.0816681711721685e-13
42,0.004200000000000001,2.4646951146678475e-13
43,0.0043,2.9032332093947844e-13
44,0.0044,3.4083846855992306e-13
45,0.0045000000000000005,3.985700658404312e-13
46,0.0046,4.64628335805628e-13
47,0.0047,5.395683899678261e-13
48,0.0048000000000000004,6.250555628639631e-13
49,0.0049,7.216449660063518e-13
50,0.005,8.304468224196171e-13
51,0.0051,9.531264666406969e-13
52,0.005200000000000001,1.0913492332065289e-12
53,0.0053,1.2462253451417382e-12
54,0.0054,1.41886502547095e-12
55,0.0055000000000000005,1.6125989432680399e-12
56,0.0056,1.8279822100453202e-12
57,0.0057,2.0672352718520415e-12
58,0.0058000000000000005,2.3331336862497665e-12
59,0.0059,2.6278978992877455e-12
60,0.006,2.953748357015229e-12
61,0.0061,3.3140157285060923e-12
62,0.006200000000000001,3.710920459809586e-12
63,0.0063,4.147238108487272e-12
64,0.0064,4.6274095666376525e-12
65,0.006500000000000001,5.154210391822289e-12
66,0.0066,5.731526364627371e-12
67,0.0067,6.362688154126772e-12
68,0.0068000000000000005,7.0532468754436195e-12
69,0.006900000000000001,7.805978086139476e-12
70,0.007,8.626988012849779e-12
71,0.0071,9.52071754767303e-12
72,0.007200000000000001,1.0492162694220042e-11
73,0.0073,1.1547429679126253e-11
74,0.0074,1.269206961751479e-11
75,0.007500000000000001,1.393218873602109e-11
76,0.0076,1.5275003484305216e-11
77,0.0077,1.6726064977490296e-11
78,0.0078000000000000005,1.8293699888261017e-11
79,0.0079,1.9985679777789755e-11
80,0.008,2.1809221095736575e-11
81,0.0081,2.3773205626298477e-11
82,0.0082,2.5886515153672462e-11
83,0.0083,2.8158586573567845e-11
84,0.008400000000000001,3.059830167018163e-11
85,0.0085,3.321676267376006e-11
86,0.0086,3.602451670303708e-11
87,0.008700000000000001,3.903266598825894e-11
88,0.0088,4.225286787118421e-11
89,0.0089,4.569677969357144e-11
90,0.009000000000000001,4.937827924322846e-11
91,0.0091,5.3310689196450767e-11
92,0.0092,5.7506777118021546e-11
93,0.009300000000000001,6.198264124179786e-11
94,0.0094,6.675215935558754e-11
95,0.0095,7.183253991627225e-11
96,0.009600000000000001,7.723877093468445e-11
97,0.0097,8.298917109073045e-11
98,0.0098,8.910150395280425e-11
99,0.0099,9.559408820081217e-11
100,0.01,1.0248690784919745e-10
101,0.010100000000000001,1.0979939180089104e-10
102,0.0102,1.1755318940487314e-10
103,0.0103,1.2576995001012392e-10
104,0.010400000000000001,1.344724331886482e-10
105,0.0105,1.4368339851245082e-10
106,0.0106,1.5342838111109813e-10
107,0.010700000000000001,1.637318058911319e-10
108,0.0108,1.7462087331665543e-10
109,0.0109,1.8612222874025974e-10
110,0.011000000000000001,1.9826418284907277e-10
111,0.0111,2.1107560144173476e-10
112,0.0112,2.2458812587444754e-10
113,0.011300000000000001,2.38831732168876e-10
114,0.0114,2.5383972701575885e-10
115,0.0115,2.696454171058349e-10
116,0.011600000000000001,2.862837744643798e-10
117,0.0117,3.037903262281816e-10
118,0.0118,3.222028199800775e-10
119,0.0119,3.415595584144171e-10
120,0.012,3.619005095600869e-10
121,0.012100000000000001,3.8326619655748573e-10
122,0.0122,4.0569936299306164e-10
123,0.0123,4.29243307564775e-10
124,0.012400000000000001,4.539435494166355e-10
125,0.0125,4.798467179156773e-10
126,0.0126,5.070011077634717e-10
127,0.012700000000000001,5.354555687731022e-10
