,delta,beta
0,0.0,0.0
1,0.0001,1.496560531055735e-08
2,0.0002,4.777844786474361e-12
3,0.00030000000000000003,1.6150414339222152e-11
4,0.0004,3.8341774200034706e-11
5,0.0005,7.5002448696182e-11
6,0.0006000000000000001,1.298037233254945e-10
7,0.0007,2.0643908804629518e-10
8,0.0008,3.0862556954502907e-10
9,0.0009000000000000001,4.4010128874560905e-10
10,0.001,6.046246836532987e-10
11,0.0011,8.05979505358323e-10
12,0.0012000000000000001,1.0479683787423255e-09
13,0.0013000000000000002,1.3344167992812572e-09
14,0.0014,1.669172355889259e-09
15,0.0015,2.0561043978517546e-09
16,0.0016,2.4991033686916353e-09
17,0.0017000000000000001,3.002081916392285e-09
18,0.0018000000000000002,3.5689751154421856e-09
19,0.0019,4.2037373582104465e-09
20,0.002,4.910346351749695e-09
21,0.0021000000000000003,5.69280200757305e-09
22,0.0022,6.5551247763195875e-09
23,0.0023,7.50135620286585e-09
24,0.0024000000000000002,8.535560591660385e-09
25,0.0025,9.661822231166184e-09
26,0.0026000000000000003,1.0884246837150613e-08
27,0.0027,1.220696455028758e-08
28,0.0028,1.363412205357406e-08
29,0.0029000000000000002,1.5169891898203502e-08
30,0.003,1.681846484302696e-08
31,0.0031000000000000003,1.8584053296244463e-08
32,0.0032,2.047089320278417e-08
33,0.0033,2.2483238382164927e-08
34,0.0034000000000000002,2.4625366412678318e-08
35,0.0035,2.690157563378648e-08
36,0.0036000000000000003,2.9316183258742967e-08
37,0.0037,3.187353003752946e-08
38,0.0038,3.457797670414209e-08
39,0.0039000000000000003,3.743390619703746e-08
40,0.004,6.446421174644001e-11
41,0.0041,7.125877665714597e-11
42,0.004200000000000001,7.858136363836365e-11
43,0.0043,8.645917315419638e-11
44,0.0044,9.492162611479671e-11
45,0.0045000000000000005,1.0399681116268766e-10
46,0.0046,1.1371403818571935e-10
47,0.0047,1.2410406036167387e-10
48,0.0048000000000000004,1.3519851904675306e-10
49,0.0049,1.4702816741873903e-10
50,0.005,1.596273113690927e-10
51,0.0051,1.7302737020941095e-10
52,0.005200000000000001,1.872635380095744e-10
53,0.0053,2.0237145292867353e-10
54,0.0054,2.183861980142865e-10
55,0.0055000000000000005,2.35344188581621e-10
56,0.0056,2.5328317221351426e-10
57,0.0057,2.7224134058201344e-10
58,0.0058000000000000005,2.9225788455988777e-10
59,0.0059,3.133726611537213e-10
60,0.006,3.35625749414703e-10
61,0.0061,3.5905856066165143e-10
62,0.006200000000000001,3.8371394950331705e-10
63,0.0063,4.0963477054845043e-10
64,0.0064,4.368647665842218e-10
65,0.006500000000000001,4.654485685762211e-10
66,0.0066,4.954320287353653e-10
67,0.0067,5.268618874509912e-10
68,0.0068000000000000005,5.597846630678305e-10
69,0.006900000000000001,5.942496494881766e-10
70,0.007,6.303041422128786e-10
71,0.0071,6.679989894564642e-10
72,0.007200000000000001,7.073850394334613e-10
73,0.0073,7.485136954699101e-10
74,0.0074,7.91436916003363e-10
75,0.007500000000000001,8.362086578728167e-10
76,0.0076,8.828828779172682e-10
77,0.0077,9.315139770649239e-10
78,0.0078000000000000005,9.82159353846157e-10
79,0.0079,1.0348746304345013e-09
80,0.008,1.0897174274049348e-09
81,0.0081,1.14674691964467e-09
