,delta,beta
0,0.0,0.0
1,0.0001,8.657852212934358e-12
2,0.0002,6.927591833516544e-11
3,0.00030000000000000003,2.338375049149022e-10
4,0.0004,5.543592251910923e-10
5,0.0005,1.0828838936660645e-09
6,0.0006000000000000001,1.8714820804177634e-09
7,0.0007,2.9722551087019156e-09
8,0.0008,4.437330503037629e-09
9,0.0009000000000000001,6.3188638765865335e-09
10,0.001,8.669039264219691e-09
11,0.0011,1.1540066680026939e-08
12,0.0012000000000000001,1.4984186336164385e-08
13,0.0013000000000000002,1.9053662425605467e-08
14,0.0014,2.3800789339389894e-08
15,0.0015,7.453593298123451e-11
16,0.0016,9.650324983567771e-11
17,0.0017000000000000001,1.230051616118999e-10
18,0.0018000000000000002,1.5462542357624898e-10
19,0.0019,1.9198509448870027e-10
20,0.002,2.357413153575294e-10
21,0.0021000000000000003,2.8658697637240493e-10
22,0.0022,3.4524894054754895e-10
23,0.0023,4.1249204052462574e-10
24,0.0024000000000000002,4.891157479036679e-10
25,0.0025,5.759559495999156e-10
26,0.0026000000000000003,6.738830604646751e-10
27,0.0027,7.838044657759724e-10
28,0.0028,9.066647432831587e-10
29,0.0029000000000000002,1.0434414443594164e-09
30,0.003,1.1951498679607653e-09
31,0.0031000000000000003,1.3628410622246179e-09
32,0.0032,1.5476027126481995e-09
33,0.0033,1.7505566995978938e-09
34,0.0034000000000000002,1.9728618738668047e-09
35,0.0035,2.215713834630151e-09
36,0.0036000000000000003,2.4803432641107293e-09
37,0.0037,2.7680171488242422e-09
38,0.0038,3.0800395567354144e-09
39,0.0039000000000000003,3.4177486396558265e-09
40,0.004,3.7825205190245015e-09
41,0.0041,4.1757659552388304e-09
42,0.004200000000000001,4.598934011390554e-09
43,0.0043,5.053508278507479e-09
44,0.0044,5.541008873954922e-09
45,0.0045000000000000005,6.062992108368803e-09
46,0.0046,6.621050929744854e-09
47,0.0047,7.2168138132155946e-09
48,0.0048000000000000004,7.851946204340265e-09
49,0.0049,8.5281492978595e-09
50,0.005,9.247161592007558e-09
51,0.0051,1.0010757778289303e-08
52,0.005200000000000001,1.0820747631257177e-08
53,0.0053,1.1678978451001854e-08
54,0.0054,1.258733284270619e-08
55,0.0055000000000000005,1.354773171424739e-08
56,0.0056,1.4562130390416428e-08
57,0.0057,1.5632522609720922e-08
58,0.0058000000000000005,1.6760936638604562e-08
59,0.0059,1.794943793598236e-08
60,0.006,1.920012815403993e-08
61,0.0061,2.0515147802768752e-08
62,0.006200000000000001,2.189667025476183e-08
63,0.0063,2.3346907740418033e-08
64,0.0064,2.756647132784451e-10
65,0.006500000000000001,2.9792390776606226e-10
66,0.0066,3.215995247884962e-10
67,0.0067,3.4675773363801454e-10
68,0.0068000000000000005,3.7346814529826133e-10
69,0.006900000000000001,4.0180192506511503e-10
70,0.007,4.3183012721215164e-10
71,0.0071,4.6362946815037276e-10
72,0.007200000000000001,4.972764422461751e-10
73,0.0073,5.328515406688439e-10
74,0.0074,5.704352545876645e-10
75,0.007500000000000001,6.101124050417184e-10
76,0.0076,6.519697004492286e-10
77,0.0077,6.960948484291407e-10
78,0.0078000000000000005,7.425799974924985e-10
79,0.0079,7.915177402395557e-10
80,0.008,8.430053322072695e-10
81,0.0081,8.971401399548995e-10
82,0.0082,9.54023526844594e-10
83,0.0083,1.0137590766845506e-09
84,0.008400000000000001,1.076453592929738e-09
85,0.0085,1.1422148782358477e-09
86,0.0086,1.2111538438830394e-09
87,0.008700000000000001,1.2833861751104791e-09
88,0.0088,1.3590277792019378e-09
89,0.0089,1.438197338998748e-09
90,0.009000000000000001,1.5210182002789452e-09
91,0.0091,1.6076157072220099e-09
92,0.0092,1.6981164252527492e-09
93,0.009300000000000001,1.7926529150003034e-09
94,0.0094,1.8913567378930907e-09
95,0.0095,1.994366227719979e-09
96,0.009600000000000001,2.101820384403652e-09
97,0.0097,2.213861538535866e-09
98,0.0098,2.3306351293328476e-09
99,0.0099,2.4522908148583156e-09
100,0.01,2.5789793633990143e-09
101,0.010100000000000001,2.7108566502676013e-09
102,0.0102,2.8480797720220608e-09
103,0.0103,2.9908104881570807e-09
104,0.010400000000000001,3.139212667591096e-09
105,0.0105,3.2934546201346393e-09
106,0.0106,3.4537073201335033e-09
107,0.010700000000000001,3.6201448505579492e-09
108,0.0108,3.792944847091917e-09
109,0.0109,3.9722878319992105e-09
110,0.011000000000000001,4.158359434569547e-09
111,0.0111,4.351347948627904e-09
112,0.0112,4.551443000266886e-09
113,0.011300000000000001,4.758839988738828e-09
114,0.0114,4.973738532143557e-09
115,0.0115,5.196339802893135e-09
116,0.011600000000000001,5.426849747358631e-09
117,0.0117,5.665476976446371e-09
118,0.0118,5.91243587422241e-09
119,0.0119,6.167941490886619e-09
120,0.012,6.432215204910108e-09
121,0.012100000000000001,6.70548128134385e-09
122,0.0122,6.98796709386329e-09
123,0.0123,7.279905567258993e-09
124,0.012400000000000001,7.58153162472297e-09
125,0.0125,7.893084630339331e-09
126,0.0126,8.214808389084283e-09
127,0.012700000000000001,8.546950924781527e-09
128,0.0128,8.889762925790023e-09
129,0.0129,9.243500409539251e-09
130,0.013000000000000001,9.60842350128388e-09
131,0.0131,9.984794768769234e-09
132,0.0132,1.0372883330056482e-08
133,0.013300000000000001,1.0772959635474422e-08
134,0.0134,1.1185302017935328e-08
135,0.0135,1.1610189032396079e-08
136,0.013600000000000001,1.2047906228218608e-08
137,0.0137,1.2498742485433922e-08
138,0.013800000000000002,1.2962990902920524e-08
139,0.013900000000000001,1.3440949686582826e-08
140,0.014,1.3932920261972015e-08
141,0.014100000000000001,1.4439209494732097e-08
142,0.0142,1.496012791424306e-08
143,0.0143,1.549599137895541e-08
144,0.014400000000000001,1.6047120410256355e-08
145,0.0145,1.6613837861001457e-08
146,0.0146,1.719647435560745e-08
147,0.014700000000000001,1.7795362738937115e-08
148,0.0148,1.8410842184124476e-08
149,0.0149,1.9043254639861118e-08
150,0.015000000000000001,1.9692948383109865e-08
151,0.0151,2.036027701990406e-08
152,0.0152,2.1045595821611585e-08
153,0.015300000000000001,2.1749268164228397e-08
154,0.0154,2.2471660532374926e-08
155,0.0155,2.3213145516898237e-08
156,0.015600000000000001,6.529348173245353e-10
157,0.015700000000000002,6.785223494176762e-10
158,0.0158,7.049415495785638e-10
159,0.0159,7.322129569331537e-10
160,0.016,7.603586649196359e-10
161,0.0161,7.894005449315955e-10
162,0.0162,8.19362466764062e-10
163,0.016300000000000002,8.502665238552254e-10
164,0.0164,8.821371411116274e-10
165,0.0165,9.149971891275754e-10
166,0.0166,9.488723140549382e-10
167,0.0167,9.837866077333501e-10
168,0.016800000000000002,1.0197667155154022e-09
169,0.016900000000000002,1.0568366182184263e-09
170,0.017,1.095024737551853e-09
171,0.0171,1.1343559425114336e-09
172,0.0172,1.1748590988958085e-09
173,0.0173,1.2165610741021737e-09
174,0.017400000000000002,1.2594898457507497e-09
175,0.0175,1.3036753898632014e-09
176,0.0176,1.3491456840597493e-09
177,0.0177,1.395931814585083e-09
178,0.0178,1.4440624251932377e-09
179,0.0179,1.4935701564411374e-09
180,0.018000000000000002,1.544485428439657e-09
181,0.0181,1.5968397715226956e-09
182,0.0182,1.6506653821579675e-09
183,0.0183,1.7059965662369336e-09
184,0.0184,1.7628659643165179e-09
185,0.018500000000000003,1.8213079933104837e-09
186,0.018600000000000002,1.8813568480879894e-09
187,0.0187,1.9430479447635207e-09
188,0.0188,2.0064162553623532e-09
189,0.0189,2.0715003046234415e-09
190,0.019,2.1383343984382464e-09
191,0.019100000000000002,2.206957727679537e-09
192,0.019200000000000002,2.2774089281085708e-09
193,0.0193,2.349725414241277e-09
194,0.0194,2.4239465989950304e-09
195,0.0195,2.5001132275548343e-09
196,0.0196,2.578265378971878e-09
197,0.019700000000000002,2.6584449086541895e-09
198,0.0198,2.7406925617867728e-09
199,0.0199,2.8250526362683104e-09
200,0.02,2.9115665434176208e-09
201,0.0201,3.000279691356411e-09
202,0.020200000000000003,3.0912350457157345e-09
203,0.020300000000000002,3.1844786807511127e-09
204,0.0204,3.2800570037849752e-09
205,0.0205,3.3780149788498193e-09
206,0.0206,3.4784018998479382e-09
207,0.0207,3.5812641741017615e-09
208,0.020800000000000003,3.6866502073351626e-09
209,0.020900000000000002,3.794611513896484e-09
210,0.021,3.905195944398088e-09
211,0.0211,4.018454902166013e-09
212,0.0212,4.134441011771628e-09
213,0.0213,4.2532057875632745e-09
214,0.021400000000000002,4.37480185411232e-09
215,0.021500000000000002,4.499284056436181e-09
216,0.0216,4.6267060183069475e-09
217,0.0217,4.757123472920455e-09
218,0.0218,4.890592819606354e-09
219,0.0219,5.0271706797389015e-09
220,0.022000000000000002,5.166915117982285e-09
221,0.0221,5.309883865933784e-09
222,0.0222,5.45613687563673e-09
223,0.0223,5.6057347652682665e-09
224,0.0224,5.758736931760211e-09
225,0.022500000000000003,5.915207323958782e-09
226,0.022600000000000002,6.075206560041124e-09
227,0.0227,6.238799032942666e-09
228,0.0228,6.406049468665742e-09
229,0.0229,6.577022260145782e-09
230,0.023,6.751784242808867e-09
231,0.023100000000000002,6.930401696969568e-09
232,0.023200000000000002,7.112943123388504e-09
233,0.0233,7.29947680078169e-09
234,0.0234,7.490071673998955e-09
235,0.0235,7.684799574469992e-09
236,0.0236,7.883731667490679e-09
237,0.023700000000000002,8.086939229379198e-09
238,0.0238,8.294497311212012e-09
239,0.0239,8.506477966463422e-09
240,0.024,8.722958799722846e-09
241,0.0241,8.944013751843727e-09
242,0.024200000000000003,9.169721648660811e-09
243,0.024300000000000002,9.400159650674311e-09
244,0.0244,9.635407138830487e-09
245,0.0245,9.875544049187113e-09
246,0.0246,1.0120651428024985e-08
247,0.0247,1.0370811875937136e-08
248,0.024800000000000003,1.0626107216360481e-08
249,0.024900000000000002,1.0886622492378706e-08
250,0.025,1.1152441858897078e-08
251,0.0251,1.1423652912512239e-08
252,0.0252,1.170034225062011e-08
253,0.0253,1.1982597358795033e-08
254,0.025400000000000002,1.2270509164302723e-08
255,0.025500000000000002,1.2564165929873639e-08
256,0.0256,1.2863660692197243e-08
257,0.0257,1.316908604387379e-08
258,0.0258,1.3480534466481231e-08
259,0.025900000000000003,1.3798102327378103e-08
260,0.026000000000000002,1.4121883662454593e-08
261,0.0261,1.4451976726448379e-08
262,0.0262,1.4788479441030233e-08
263,0.0263,1.5131490949116255e-08
264,0.0264,1.5481111725890173e-08
265,0.026500000000000003,1.583744335675874e-08
266,0.026600000000000002,1.6200588648374037e-08
267,0.0267,1.657065162863347e-08
268,0.0268,1.694773688054596e-08
269,0.0269,1.733195142961108e-08
270,0.027,1.77234019682615e-08
271,0.027100000000000003,1.812219752039823e-08
272,0.027200000000000002,1.852844899730144e-08
273,0.0273,1.8942266644117467e-08
274,0.0274,1.9363762371327198e-08
275,0.0275,1.9793050753946773e-08
276,0.027600000000000003,2.023024625597003e-08
277,0.027700000000000002,2.0675465783881464e-08
