,delta,alpha,beta
0,0.0,0.0,0.0
1,0.0001,0.0,0.0
2,0.0002,0.0,0.0
3,0.00030000000000000003,0.0,0.0
4,0.0004,0.0,0.0
5,0.0005,0.0,0.0
6,0.0006000000000000001,0.0,0.0
7,0.0007,0.0,0.0
8,0.0008,0.0,0.0
9,0.0009000000000000001,0.0,0.0
10,0.001,0.0,0.0
11,0.0011,0.0,0.0
12,0.0012000000000000001,0.0,0.0
13,0.0013000000000000002,0.0,0.0
14,0.0014,0.0,0.0
15,0.0015,0.0,0.0
16,0.0016,0.0,0.0
17,0.0017000000000000001,0.0,0.0
18,0.0018000000000000002,0.0,0.0
19,0.0019,0.0,0.0
20,0.002,0.0,0.0
21,0.0021000000000000003,0.0,0.0
22,0.0022,0.0,0.0
23,0.0023,0.0,0.0
24,0.0024000000000000002,0.0,0.0
25,0.0025,0.0,0.0
26,0.0026000000000000003,0.0,0.0
27,0.0027,0.0,0.0
28,0.0028,0.0,0.0
29,0.0029000000000000002,0.0,0.0
30,0.003,0.0,0.0
31,0.0031000000000000003,0.0,0.0
32,0.0032,0.0,0.0
33,0.0033,0.0,0.0
34,0.0034000000000000002,0.0,0.0
35,0.0035,0.0,0.0
36,0.0036000000000000003,0.0,0.0
37,0.0037,0.0,0.0
38,0.0038,0.0,0.0
39,0.0039000000000000003,0.0,0.0
40,0.004,0.0,0.0
41,0.0041,0.0,0.0
42,0.004200000000000001,0.0,0.0
43,0.0043,0.0,0.0
44,0.0044,0.0,0.0
45,0.0045000000000000005,0.0,0.0
46,0.0046,0.0,0.0
47,0.0047,0.0,0.0
48,0.0048000000000000004,0.0,0.0
49,0.0049,0.0,0.0
50,0.005,0.0,0.0
51,0.0051,0.0,0.0
52,0.005200000000000001,0.0,0.0
53,0.0053,0.0,0.0
54,0.0054,0.0,0.0
55,0.0055000000000000005,0.0,0.0
56,0.0056,0.0,0.0
57,0.0057,0.0,0.0
58,0.0058000000000000005,0.0,0.0
59,0.0059,0.0,0.0
60,0.006,0.0,0.0
61,0.0061,0.0,0.0
62,0.006200000000000001,0.0,0.0
63,0.0063,0.0,0.0
64,0.0064,0.0,0.0
65,0.006500000000000001,0.0,0.0
66,0.0066,0.0,0.0
67,0.0067,0.0,0.0
68,0.0068000000000000005,0.0,0.0
69,0.006900000000000001,0.0,0.0
70,0.007,0.0,0.0
71,0.0071,0.0,0.0
72,0.007200000000000001,0.0,0.0
73,0.0073,0.0,0.0
74,0.0074,0.0,0.0
75,0.007500000000000001,0.0,0.0
76,0.0076,0.0,0.0
77,0.0077,0.0,0.0
78,0.0078000000000000005,0.0,0.0
79,0.0079,0.0,0.0
80,0.008,0.0,0.0
81,0.0081,0.0,0.0
82,0.0082,0.0,0.0
83,0.0083,0.0,0.0
84,0.008400000000000001,0.0,0.0
85,0.0085,0.0,0.0
86,0.0086,0.0,0.0
87,0.008700000000000001,0.0,0.0
88,0.0088,0.0,0.0
89,0.0089,0.0,0.0
90,0.009000000000000001,0.0,0.0
91,0.0091,0.0,0.0
92,0.0092,0.0,0.0
93,0.009300000000000001,0.0,0.0
94,0.0094,0.0,0.0
95,0.0095,0.0,0.0
96,0.009600000000000001,0.0,0.0
97,0.0097,0.0,0.0
98,0.0098,0.0,0.0
99,0.0099,0.0,0.0
100,0.01,0.0,0.0
101,0.010100000000000001,0.0,0.0
102,0.0102,0.0,0.0
103,0.0103,0.0,0.0
104,0.010400000000000001,0.0,0.0
105,0.0105,0.0,0.0
106,0.0106,0.0,0.0
107,0.010700000000000001,0.0,0.0
108,0.0108,0.0,0.0
109,0.0109,0.0,0.0
110,0.011000000000000001,0.0,0.0
111,0.0111,0.0,0.0
112,0.0112,0.0,0.0
113,0.011300000000000001,0.0,0.0
114,0.0114,0.0,0.0
115,0.0115,0.0,0.0
116,0.011600000000000001,0.0,0.0
117,0.0117,0.0,0.0
118,0.0118,0.0,0.0
119,0.0119,0.0,0.0
120,0.012,0.0,0.0
121,0.012100000000000001,0.0,0.0
122,0.0122,0.0,0.0
123,0.0123,0.0,0.0
124,0.012400000000000001,0.0,0.0
125,0.0125,0.0,0.0
126,0.0126,0.0,0.0
127,0.012700000000000001,0.0,0.0
128,0.0128,0.0,0.0
129,0.0129,0.0,0.0
130,0.013000000000000001,0.0,0.0
131,0.0131,0.0,0.0
132,0.0132,0.0,0.0
133,0.013300000000000001,0.0,0.0
134,0.0134,0.0,0.0
135,0.0135,0.0,0.0
136,0.013600000000000001,0.0,0.0
137,0.0137,0.0,0.0
138,0.013800000000000002,0.0,0.0
139,0.013900000000000001,0.0,0.0
140,0.014,0.0,0.0
141,0.014100000000000001,0.0,0.0
142,0.0142,0.0,0.0
143,0.0143,0.0,0.0
144,0.014400000000000001,0.0,0.0
145,0.0145,0.0,0.0
146,0.0146,0.0,0.0
147,0.014700000000000001,0.0,0.0
148,0.0148,0.0,0.0
149,0.0149,0.0,0.0
150,0.015000000000000001,0.0,0.0
151,0.0151,0.0,0.0
152,0.0152,0.0,0.0
153,0.015300000000000001,0.0,0.0
154,0.0154,0.0,0.0
155,0.0155,0.0,0.0
156,0.015600000000000001,0.0,0.0
157,0.015700000000000002,0.0,0.0
158,0.0158,0.0,0.0
159,0.0159,0.0,0.0
160,0.016,0.0,0.0
161,0.0161,0.0,0.0
162,0.0162,0.0,0.0
163,0.016300000000000002,0.0,0.0
164,0.0164,0.0,0.0
165,0.0165,0.0,0.0
166,0.0166,0.0,0.0
167,0.0167,0.0,0.0
168,0.016800000000000002,0.0,0.0
169,0.016900000000000002,0.0,0.0
170,0.017,0.0,0.0
171,0.0171,0.0,0.0
172,0.0172,0.0,0.0
173,0.0173,0.0,0.0
174,0.017400000000000002,0.0,0.0
175,0.0175,0.0,0.0
176,0.0176,0.0,0.0
177,0.0177,0.0,0.0
178,0.0178,0.0,0.0
179,0.0179,0.0,0.0
180,0.018000000000000002,0.0,0.0
181,0.0181,0.0,0.0
182,0.0182,0.0,0.0
183,0.0183,0.0,0.0
184,0.0184,0.0,0.0
185,0.018500000000000003,0.0,0.0
186,0.018600000000000002,0.0,0.0
187,0.0187,0.0,0.0
188,0.0188,0.0,0.0
189,0.0189,0.0,0.0
190,0.019,0.0,0.0
191,0.019100000000000002,0.0,0.0
192,0.019200000000000002,0.0,0.0
193,0.0193,0.0,0.0
194,0.0194,0.0,0.0
195,0.0195,0.0,0.0
196,0.0196,0.0,0.0
197,0.019700000000000002,0.0,0.0
198,0.0198,0.0,0.0
199,0.0199,0.0,0.0
